Maturity,Mean_Yield,Lower_5th,Upper_95th
0.1,8.262275562209584,6.120246822796297,10.282030779217386
0.6210526315789474,6.666007467256706,4.57873683152175,8.634130339869333
1.142105263157895,5.025748274333268,2.9913758059633113,6.943992568036217
1.6631578947368424,3.2455580905121315,1.262294826256467,5.115610649086804
2.18421052631579,1.438208896796335,-0.4956660403113038,3.2616923643121165
2.7052631578947373,-0.31509997125138045,-2.2012421364100816,1.4633754562730623
3.2263157894736847,-2.0378282499897877,-3.87783052421237,-0.30285890794200987
3.747368421052632,-3.7689047586835187,-5.564299884529065,-2.07599625316544
4.268421052631579,-5.482579987873292,-7.234842998193171,-3.830341485399806
4.7894736842105265,-7.192803442058241,-8.903353986401806,-5.579896330998744
5.310526315789474,-8.891742628544405,-10.561947201664402,-7.316878417827315
5.831578947368421,-10.57525264524382,-12.206426721944693,-9.037190951371812
6.352631578947369,-12.228425385386373,-13.821835465771022,-10.725972003938674
6.873684210526316,-13.844786099413566,-15.401651668404158,-12.376791157380348
7.394736842105264,-15.435570920184196,-16.957066325021906,-14.000927105640372
7.915789473684211,-17.00276120044181,-18.490017449706123,-15.600402066221266
8.436842105263159,-18.541504152618423,-19.99561064015052,-17.170402490797425
8.957894736842105,-20.03888888267339,-21.46089503963885,-18.698055166812587
9.478947368421053,-21.471264971521162,-22.862181849704566,-20.15974586375011
10.0,-22.852813197881613,-24.213614987169823,-21.56969011803849
