Maturity,Mean_Yield,Median_Yield,Lower_9th,Upper_90th,Std_Dev
0.1,4.036891248617897,4.036741629554763,3.9243773426754647,4.146827701856873,0.08434282924894805
0.4820512820512821,4.057038958810885,4.056890387638367,3.945313069202063,4.166205447483314,0.08375211535880936
0.8641025641025641,4.0769818952617465,4.076834360977228,3.96603574799175,4.185386503822999,0.08316760383208585
1.2461538461538464,4.09672272600012,4.096576217742134,3.9865481532248768,4.204373435186426,0.0825892150958749
1.6282051282051284,4.116264077438695,4.1161185844849335,4.006853015939114,4.2231687657581,0.08201687072109347
2.01025641025641,4.135608535131592,4.135464046896818,4.026953024811033,4.241774980331892,0.08145049340489599
2.3923076923076927,4.154758644516425,4.154615150550615,4.046850826921496,4.260194525030692,0.08089000695337306
2.7743589743589747,4.173716911641113,4.17357440162745,4.066549028504979,4.27842980801089,0.08033533626452281
3.1564102564102567,4.19248580387498,4.192344267627991,4.08605019568314,4.296483200151718,0.07978640731150168
3.5384615384615388,4.211067750605228,4.210927178068863,4.105356855183199,4.314357035730177,0.07924314712613632
3.920512820512821,4.229465143918612,4.229325525164386,4.124471495041298,4.332053613081597,0.07870548378270525
4.302564102564102,4.247680339268943,4.2475416644942126,4.1433965652913605,4.34957519524642,0.07817334638197505
4.684615384615385,4.265715656130961,4.26557791565697,4.162134478639711,4.366924010603372,0.07764666503549507
5.066666666666666,4.283573378640171,4.2834365629104525,4.1806876111258235,4.38410225348946,0.0771253708501411
5.448717948717949,4.301255756220021,4.301119855798541,4.199058302769518,4.401112084807046,0.07660939591290632
5.8307692307692305,4.3187650041957335,4.318630009765245,4.217248858204934,4.4179556326183675,0.07609867327593486
6.212820512820513,4.336103304395853,4.335969206756143,4.235261547301598,4.434634992727728,0.07559313694179538
6.594871794871795,4.353272805741188,4.353139595807525,4.253098605772867,4.451152229251759,0.07509272184898716
6.976923076923077,4.370275624822188,4.370143293623544,4.270762235772084,4.467509375177922,0.07459736385767834
7.3589743589743595,4.387113846464068,4.386982385141623,4.288254606476684,4.483708432911624,0.07410699973567253
7.741025641025641,4.403789524280918,4.4036589240864386,4.305577854660562,4.499751374812152,0.07362156714459663
8.123076923076923,4.420304681218413,4.42017493351271,4.322734085255004,4.515640143717744,0.07314100462630965
8.505128205128205,4.436661310085766,4.436532406337081,4.339725371898339,4.5313766534599935,0.07266525158952784
8.887179487179488,4.45286137407674,4.452733305859327,4.356553757474727,4.546962789367897,0.07219424829666249
9.26923076923077,4.468906807280572,4.468779566273163,4.373221254642197,4.5624004087617385,0.07172793585086555
9.651282051282053,4.484799515182563,4.4846730931668635,4.389729846350258,4.577691341437076,0.07126625618328324
10.033333333333333,4.500541375154607,4.500415764013946,4.406081486347291,4.59283739013905,0.07080915204050987
10.415384615384616,4.516134236936346,4.516009428654134,4.422278099677973,4.60784033102724,0.07035656697224295
10.797435897435898,4.531579923106422,4.531455909764846,4.438321583170932,4.622701914131283,0.06990844531913089
11.17948717948718,4.5468802295448,4.5467570033233935,4.454213805916896,4.637423863797468,0.06946473220081748
11.561538461538461,4.562036925885868,4.561914479060124,4.469956609737498,4.652007879126526,0.06902537350417222
11.943589743589744,4.577051755962588,4.576930080902706,4.485551809645007,4.6664556344027845,0.06859031587170847
12.325641025641026,4.591926438242275,4.5918055274117435,4.5010011942931145,4.680768779514919,0.06815950669018593
12.707692307692309,4.606662666253602,4.6065425122079615,4.516306526419062,4.694948940368482,0.06773289407939108
13.089743589743591,4.621262109005528,4.6211427043910644,4.5314695432772325,4.708997719290366,0.06731042688109697
13.471794871794872,4.635726411398055,4.635607748950551,4.546491957064412,4.72291669542542,0.06689205464819727
13.853846153846154,4.650057194625094,4.649939267168607,4.561375455336949,4.736707425125394,0.06647772763401089
14.235897435897437,4.664256056569702,4.664138857015253,4.57612170141992,4.750371442330343,0.06606739678175637
14.61794871794872,4.678324572191492,4.678208093535946,4.590732334808529,4.763910258942709,0.06566101371419213
15.0,4.692264293906906,4.692148529231773,4.605208971561895,4.777325365194208,0.06525853072342061
