Maturity,Mean_Yield,Lower_5th,Upper_95th
0.1,4.880132242439715,4.194098387714555,5.596797370499133
0.6210526315789474,5.013016307530238,4.408412000457791,5.644616075047465
1.142105263157895,5.1251805864344995,4.589334317101834,5.68495228368596
1.6631578947368424,5.220240370588092,4.742683823442617,5.719119721305758
2.18421052631579,5.301138598094131,4.873199463172216,5.748185129133512
2.7052631578947373,5.370276461406753,4.984749479082914,5.773017145783267
3.2263157894736847,5.429617736796764,5.080498535195172,5.794325040380279
3.747368421052632,5.480772304368016,5.163041696946838,5.812689519367748
4.268421052631579,5.525063144871179,5.234512028772358,5.828587309739389
4.7894736842105265,5.563580185416882,5.296667150371978,5.842410833676687
5.310526315789474,5.5972236555580945,5.3509589824158414,5.854483996718243
5.831578947368421,5.626739060178429,5.398590039762884,5.865074888369066
6.352631578947369,5.65274544038749,5.440558942586557,5.874406022546231
6.873684210526316,5.675758251172695,5.477697272551124,5.8826626125679065
7.394736842105264,5.696207914327909,5.5106994711205335,5.88999927213283
7.915789473684211,5.714454891406162,5.540147135981702,5.896545452976284
8.436842105263159,5.73080195196042,5.566528800565606,5.902409866453581
8.957894736842105,5.745504177704947,5.590256066012117,5.907684086292558
9.478947368421053,5.758777136093637,5.611676783092393,5.912445490206351
10.0,5.7708035714188775,5.631085844490965,5.916759666692173
